afTimesInSeconds	afPressures1	afPressures2	afPressures3	afPressures4	afPressures5	afPressures6	afPressures7	afPressures8	afAveragePressure	abActiveZones
12.216	0.000	-7.000	-8.000	-7.000	-7.000	-3.000	-3.000	-1.000	-5.155	0.000
12.338	0.000	-8.000	-8.000	-8.000	-6.000	-1.000	-1.000	1.000	-4.413	0.000
12.457	0.000	-8.000	-9.000	-7.000	-4.000	3.000	3.000	1.000	-2.992	0.000
12.579	0.000	-9.000	-8.000	-3.000	0.000	9.000	9.000	3.000	0.186	0.000
12.702	0.000	-8.000	-8.000	-1.000	2.000	12.000	13.000	4.000	2.011	0.000
12.882	0.000	-8.000	-8.000	0.000	3.000	13.000	14.000	4.000	2.585	1.000
13.002	0.000	-9.000	-9.000	-4.000	-2.000	9.000	13.000	5.000	0.409	0.000
13.121	0.000	-9.000	-9.000	-5.000	-3.000	8.000	12.000	4.000	-0.297	0.000
13.236	0.000	-9.000	-9.000	-5.000	-3.000	8.000	11.000	3.000	-0.571	0.000
13.359	0.000	-9.000	-9.000	-5.000	-3.000	8.000	11.000	3.000	-0.571	0.000
13.477	0.000	-9.000	-9.000	-5.000	-3.000	8.000	11.000	3.000	-0.571	0.000
13.596	0.000	-9.000	-9.000	-5.000	-3.000	8.000	11.000	3.000	-0.571	0.000
13.725	0.000	-9.000	-9.000	-5.000	-2.000	8.000	11.000	3.000	-0.414	0.000
13.840	0.000	-9.000	-9.000	-4.000	-1.000	9.000	12.000	3.000	0.159	0.000
13.956	0.000	-9.000	-8.000	-4.000	-1.000	9.000	12.000	3.000	0.325	0.000
14.082	0.000	-9.000	-9.000	-4.000	-2.000	9.000	11.000	3.000	-0.139	0.000
14.197	0.000	-8.000	-9.000	-5.000	-2.000	8.000	10.000	2.000	-0.571	0.000
14.316	0.000	-8.000	-9.000	-5.000	-3.000	6.000	9.000	2.000	-1.156	0.000
14.439	0.000	-8.000	-9.000	-6.000	-3.000	5.000	8.000	2.000	-1.574	0.000
14.616	0.000	-8.000	-9.000	-6.000	-3.000	4.000	7.000	1.000	-1.991	0.000
14.741	0.000	-8.000	-9.000	-6.000	-4.000	3.000	6.000	1.000	-2.433	0.000
14.857	0.000	-8.000	-9.000	-6.000	-4.000	2.000	4.000	0.000	-2.992	0.000
14.976	0.000	-8.000	-8.000	-6.000	-4.000	1.000	2.000	-1.000	-3.386	0.000
15.098	0.000	-7.000	-8.000	-6.000	-4.000	0.000	1.000	-2.000	-3.686	0.000
15.215	0.000	-7.000	-8.000	-5.000	-4.000	-1.000	0.000	-2.000	-3.840	0.000
15.338	0.000	-7.000	-8.000	-5.000	-5.000	-1.000	-1.000	-3.000	-4.270	0.000
15.459	0.000	-7.000	-8.000	-6.000	-5.000	-2.000	-1.000	-3.000	-4.545	0.000
